Unspecified,und
Undetermined,und
Undefined,und
Uncoded,mis
Miscoded,mis
No linguistic content,zxx
Not applicable,zxx
Multiple languages,mul
Afar,aar
Abkhazian,abk
Afrikaans,afr
Akan,aka
Albanian,alb
Amharic,amh
Arabic,ara
Aragonese,arg
Armenian,arm
Assamese,asm
Avaric,ava
Avestan,ave
Aymara,aym
Azerbaijani,aze
Bashkir,bak
Bambara,bam
Basque,baq
Belarusian,bel
Bengali,ben
Bihari,bih
Bislama,bis
Bosnian,bos
Breton,bre
Bulgarian,bul
Burmese,bur
Catalan,cat
Valencian,cat
Chamorro,cha
Chechen,che
Chinese,chi
Church Slavic,chu
Old Slavonic,chu
Church Slavonic,chu
Old Bulgarian,chu
Old Church Slavonic,chu
Chuvash,chv
Cornish,cor
Corsican,cos
Cree,cre
Czech,cze
Danish,dan
Divehi,div
Dhivehi,div
Maldivian,div
Dutch,dut
Flemish,dut
Dzongkha,dzo
English,eng
Esperanto,epo
Estonian,est
Ewe,ewe
Faroese,fao
Fijian,fij
Finnish,fin
French,fre
Western Frisian,fry
Fulah,ful
Georgian,geo
German,ger
Gaelic,gla
Scottish Gaelic,gla
Irish,gle
Galician,glg
Manx,glv
Greek,gre
Guarani,grn
Gujarati,guj
Haitian,hat
Haitian Creole,hat
Hausa,hau
Hebrew,heb
Herero,her
Hindi,hin
Hiri Motu,hmo
Croatian,hrv
Hungarian,hun
Igbo,ibo
Icelandic,ice
Ido,ido
Sichuan Yi,iii
Nuosu,iii
Inuktitut,iku
Interlingue,ile
Occidental,ile
Interlingua,ina
Indonesian,ind
Inupiaq,ipk
Italian,ita
Javanese,jav
Japanese,jpn
Kalaallisut,kal
Greenlandic,kal
Kannada,kan
Kashmiri,kas
Kanuri,kau
Kazakh,kaz
Central Khmer,khm
Kikuyu,kik
Gikuyu,kik
Kinyarwanda,kin
Kirghiz,kir
Kyrgyz,kir
Komi,kom
Kongo,kon
Korean,kor
Kuanyama,kua
Kwanyama,kua
Kurdish,kur
Lao,lao
Latin,lat
Latvian,lav
Limburgan,lim
Limburger,lim
Limburgish,lim
Lingala,lin
Lithuanian,lit
Luxembourgish,ltz
Letzeburgesch,ltz
Luba-Katanga,lub
Ganda,lug
Macedonian,mac
Marshallese,mah
Malayalam,mal
Maori,mao
Marathi,mar
Malay,may
Malagasy,mlg
Maltese,mlt
Mongolian,mon
Nauru,nau
Navajo,nav
Navaho,nav
Ndebele,nbl
South Ndebele,nbl
North Ndebele,nde
Ndonga,ndo
Nepali,nep
Norwegian,nno
Nynorsk,nno
Bokmål,nob
Norwegian Bokmål,nob
Norwegian,nor
Chichewa,nya
Chewa,nya
Nyanja,nya
Occitan,oci
Ojibwa,oji
Oriya,ori
Oromo,orm
Ossetian,oss
Ossetic,oss
Panjabi,pan
Punjabi,oss
Persian,per
Pali,pli
Polish,pol
Portuguese,por
Pushto,pus
Pashto,pus
Quechua,que
Romansh,roh
Romanian,rum
Moldavian,rum
Moldovan,rum
Rundi,run
Russian,rus
Sango,sag
Sanskrit,san
Sinhala,sin
Sinhalese,sin
Slovak,slo
Slovenian,slv
Northern Sami,sme
Samoan,smo
Shona,sna
Sindhi,snd
Somali,som
Sotho,sot
Spanish,spa
Castilian,spa
Sardinian,srd
Serbian,srp
Swati,ssw
Sundanese,sun
Swahili,swa
Swedish,swe
Tahitian,tah
Tamil,tam
Tatar,tat
Telugu,tel
Tajik,tgk
Tagalog,tgl
Thai,tha
Tibetan,tib
Tigrinya,tir
Tonga,ton
Tswana,tsn
Tsonga,tso
Turkmen,tuk
Turkish,tur
Twi,twi
Uighur,uig
Uyghur,uig
Ukrainian,ukr
Urdu,urd
Uzbek,uzb
Venda,ven
Vietnamese,vie
Volapük,vol
Welsh,wel
Walloon,wln
Wolof,wol
Xhosa,xho
Yiddish,yid
Yoruba,yor
Zhuang,zha
Chuang,zha
Zulu,zul
aa,aar
ab,abk
af,afr
ak,aka
sq,alb
am,amh
ar,ara
an,arg
hy,arm
as,asm
av,ava
ae,ave
ay,aym
az,aze
ba,bak
bm,bam
eu,baq
be,bel
bn,ben
bh,bih
bi,bis
bs,bos
br,bre
bg,bul
my,bur
ca,cat
ca,cat
ch,cha
ce,che
zh,chi
cu,chu
cu,chu
cu,chu
cu,chu
cu,chu
cv,chv
kw,cor
co,cos
cr,cre
cs,cze
da,dan
dv,div
dv,div
dv,div
nl,dut
nl,dut
dz,dzo
en,eng
eo,epo
et,est
ee,ewe
fo,fao
fj,fij
fi,fin
fr,fre
fy,fry
ff,ful
ka,geo
de,ger
gd,gla
gd,gla
ga,gle
gl,glg
gv,glv
el,gre
gn,grn
gu,guj
ht,hat
ht,hat
ha,hau
he,heb
hz,her
hi,hin
ho,hmo
hr,hrv
hu,hun
ig,ibo
is,ice
io,ido
ii,iii
ii,iii
iu,iku
ie,ile
ie,ile
ia,ina
id,ind
ik,ipk
it,ita
jv,jav
ja,jpn
kl,kal
kl,kal
kn,kan
ks,kas
kr,kau
kk,kaz
km,khm
ki,kik
ki,kik
rw,kin
ky,kir
ky,kir
kv,kom
kg,kon
ko,kor
kj,kua
kj,kua
ku,kur
lo,lao
la,lat
lv,lav
li,lim
li,lim
li,lim
ln,lin
lt,lit
lb,ltz
lb,ltz
lu,lub
lg,lug
mk,mac
mh,mah
ml,mal
mi,mao
mr,mar
ms,may
mg,mlg
mt,mlt
mn,mon
na,nau
nv,nav
nv,nav
nr,nbl
nr,nbl
nd,nde
ng,ndo
ne,nep
nn,nno
nn,nno
nb,nob
nb,nob
no,nor
ny,nya
ny,nya
ny,nya
oc,oci
oj,oji
or,ori
om,orm
os,oss
os,oss
pa,pan
os,oss
fa,per
pi,pli
pl,pol
pt,por
ps,pus
ps,pus
qu,que
rm,roh
ro,rum
ro,rum
ro,rum
rn,run
ru,rus
sg,sag
sa,san
si,sin
si,sin
sk,slo
sl,slv
se,sme
sm,smo
sn,sna
sd,snd
so,som
st,sot
es,spa
es,spa
sc,srd
sr,srp
ss,ssw
su,sun
sw,swa
sv,swe
ty,tah
ta,tam
tt,tat
te,tel
tg,tgk
tl,tgl
th,tha
bo,tib
ti,tir
to,ton
tn,tsn
ts,tso
tk,tuk
tr,tur
tw,twi
ug,uig
ug,uig
uk,ukr
ur,urd
uz,uzb
ve,ven
vi,vie
vo,vol
cy,wel
wa,wln
wo,wol
xh,xho
yi,yid
yo,yor
za,zha
za,zha
zu,zul
aar,aar
abk,abk
afr,afr
aka,aka
alb,alb
amh,amh
ara,ara
arg,arg
arm,arm
asm,asm
ava,ava
ave,ave
aym,aym
aze,aze
bak,bak
bam,bam
baq,baq
bel,bel
ben,ben
bih,bih
bis,bis
bos,bos
bre,bre
bul,bul
bur,bur
cat,cat
cha,cha
chi,chi
chu,chu
chv,chv
cor,cor
cos,cos
cre,cre
cze,cze
dan,dan
div,div
dut,dut
dzo,dzo
eng,eng
epo,epo
est,est
ewe,ewe
fao,fao
fij,fij
fin,fin
fre,fre
fry,fry
ful,ful
geo,geo
ger,ger
gla,gla
gle,gle
glg,glg
glv,glv
gre,gre
grn,grn
guj,guj
hat,hat
hau,hau
heb,heb
her,her
hin,hin
hmo,hmo
hrv,hrv
hun,hun
ibo,ibo
ice,ice
ido,ido
iii,iii
iku,iku
ile,ile
